Player,Team,Position,Salary,Years,Total value,Average Annual
"Maton, Phil",Rays,RHP,"$6,250,000",,$0,$0
"Carpenter, Matt",Cardinals,DH,"$6,240,000",2,"$12,000,000","$6,000,000"
"Minter, A.J.",Braves,LHP,"$6,220,000",,$0,$0
"Farmer, Kyle",Twins,2,"$6,050,000",,$0,$0
"Caratini, Victor",Astros,C,"$6,000,000",2,"$12,000,000","$6,000,000"
"Garcia, Yimi",Blue Jays,RHP,"$6,000,000",,$0,$0
"Gomes, Yan",Cubs,C,"$6,000,000",,$0,$0
"Diaz, Elias",Rockies,C,"$6,000,000",3,"$14,500,000","$4,833,333.33"
"Holmes, Clay",Yankees,RHP,"$6,000,000",,$0,$0
"O'Neill, Tyler",Red Sox,OF,"$5,850,000",,$0,$0
"Gallegos, Giovanny",Cardinals,RHP,"$5,750,000",,$0,$0
"Rojas, Miguel",Dodgers,SS,"$5,750,000",,$0,$0
"Kahnle, Tommy",Yankees,RHP,"$5,750,000",3,"$14,500,000","$4,833,333"
"Peralta, Freddy",Brewers,RHP,"$5,734,960",5,"$15,500,000","$3,100,000"
"Scott, Tanner",Marlins,LHP,"$5,700,000",,$0,$0
"Varsho, Daulton",Blue Jays,OF,"$5,650,000",,$0,$0
"Gimenez, Andres",Guardians,2,"$5,571,429",7,"$106,500,000","$15,214,286"
"Bummer, Aaron",Braves,LHP,"$5,500,000",5,"$16,000,000","$3,200,000"
"Luzardo, Jesus",Marlins,LHP,"$5,500,000",,$0,$0
"Mahle, Tyler",Rangers,RHP,"$5,500,000",2,"$22,000,000","$11,000,000"
"Renfroe, Hunter",Royals,OF,"$5,500,000",2,"$13,000,000","$6,500,000"
"Grisham, Trent",Yankees,OF,"$5,500,000",,$0,$0
"Thomas, Lane",Nationals,OF,"$5,450,000",,$0,$0
"Keller, Mitch",Pirates,RHP,"$5,442,500",5,"$77,000,000","$15,400,000"
"Gonsolin, Anthony",Dodgers,RHP,"$5,400,000",,$0,$0
"Springs, Jeffrey",Rays,LHP,"$5,250,000",4,"$31,000,000","$7,750,000"
"Santana, Carlos",Twins,1,"$5,250,000",,$0,$0
"Jansen, Danny",Blue Jays,C,"$5,200,000",,$0,$0
"Laureano, Ramon",Guardians,OF,"$5,150,000",,$0,$0
"Finnegan, Kyle",Nationals,RHP,"$5,100,000",,$0,$0
"Houser, Adrian",Mets,RHP,"$5,050,000",,$0,$0
"Suarez, Ranger",Phillies,LHP,"$5,050,000",,$0,$0
"Sandoval, Patrick",Angels,LHP,"$5,025,000",,$0,$0
"Harris II, Mike",Braves,OF,"$5,000,000",8,"$72,000,000","$9,000,000"
"Middleton, Keynan",Cardinals,RHP,"$5,000,000",,$0,$0
"Castro, Miguel",Diamondbacks,RHP,"$5,000,000",,$0,$0
"Peterson, Jace",Diamondbacks,INF,"$5,000,000",2,"$9,500,000","$4,750,000"
"Kershaw, Clayton",Dodgers,LHP,"$5,000,000",2,"$10,000,000","$5,000,000"
"Urias, Luis",Mariners,2,"$5,000,000",,$0,$0
"Anderson, Tim",Marlins,SS,"$5,000,000",,$0,$0
"Soto, Gregory",Phillies,LHP,"$5,000,000",,$0,$0
"McCutchen, Andrew",Pirates,OF,"$5,000,000",,$0,$0
"Smith, Will",Royals,LHP,"$5,000,000",,$0,$0
"Civale, Aaron",Rays,RHP,"$4,900,000",,$0,$0
"Singer, Brady",Royals,RHP,"$4,850,000",,,
"Ward, Taylor",Angels,OF,"$4,800,000",,$0,$0
"Garcia, Adolis",Rangers,OF,"$4,750,000",2,"$14,000,000","$7,000,000"
"Estrada, Thairo",Giants,2,"$4,700,000",,$0,$0
"Bednar, David",Pirates,RHP,"$4,510,000",,$0,$0
"Brasier, Ryan",Dodgers,RHP,"$4,500,000",2,"$9,000,000","$4,500,000"
"Ottavino, Adam",Mets,RHP,"$4,500,000",2,"$14,500,000","$7,250,000"
"Lorenzen, Michael",Rangers,RHP,"$4,500,000",,$0,$0
"Yates, Kirby",Rangers,RHP,"$4,500,000",,$0,$0
"Rengifo, Luis",Angels,2,"$4,400,000",,$0,$0
"Lopez, Nicky",White Sox,2,"$4,300,000",,$0,$0
"Garcia, Luis",Angels,RHP,"$4,250,000",,$0,$0
"Dominguez, Seranthony",Phillies,RHP,"$4,250,000",,$0,$0
"Chafin, Andrew",Tigers,LHP,"$4,250,000",,$0,$0
"Biggio, Cavan",Blue Jays,2,"$4,210,000",,$0,$0
"Mountcastle, Ryan",Orioles,DH,"$4,137,000",,$0,$0
"Gilbert, Logan",Mariners,RHP,"$4,050,000",,$0,$0
"Lopez, Reynaldo",Braves,RHP,"$4,000,000",3,"$30,000,000","$10,000,000"
"Junis, Jakob",Brewers,RHP,"$4,000,000",,$0,$0
"Steele, Justin",Cubs,LHP,"$4,000,000",,$0,$0
"Hernandez, Kike",Dodgers,INF,"$4,000,000",,$0,$0
"Phillips, Evan",Dodgers,RHP,"$4,000,000",,$0,$0
"Murphy, Tom",Giants,C,"$4,000,000",2,"$8,250,000","$4,125,000"
"Slater, Austin",Giants,OF,"$4,000,000",,$0,$0
"Hedges, Austin",Guardians,C,"$4,000,000",,$0,$0
"Stanek, Ryne",Mariners,RHP,"$4,000,000",,$0,$0
"Diekman, Jake",Mets,LHP,"$4,000,000",,$0,$0
"Rosario, Eddie",Nationals,OF,"$4,000,000",,$0,$0
"Bohm, Alec",Phillies,3,"$4,000,000",,$0,$0
"Taylor, Michael A.",Pirates,OF,"$4,000,000",,$0,$0
"Brebbia, John",White Sox,RHP,"$4,000,000",,$0,$0
"Maldonado, Martin",White Sox,C,"$4,000,000",,$0,$0
"Cortes, Nestor",Yankees,LHP,"$3,950,000",,$0,$0
"Yarbrough, Ryan",Dodgers,LHP,"$3,900,000",,$0,$0
"Fairbanks, Pete",Rays,RHP,"$3,816,667",,$0,$0
"Helsley, Ryan",Cardinals,RHP,"$3,800,000",,$0,$0
"Ramirez, Harold",Rays,OF,"$3,800,000",,$0,$0
"India, Jonathan",Reds,2,"$3,800,000",2,"$8,800,000","$4,400,000"
"Urquidy, Jose",Astros,RHP,"$3,750,000",,$0,$0
"Carroll, Corbin",Diamondbacks,OF,"$3,625,000",8,"$111,000,000","$13,875,000"
"Berti, Jon",Yankees,INF,"$3,625,000",,$0,
"McClanahan, Shane",Rays,LHP,"$3,600,000",,$0,$0
"Mayza, Tim",Blue Jays,LHP,"$3,590,000",,$0,$0
"Dubon, Mauricio",Astros,2,"$3,500,000",,$0,$0
"Rea, Colin",Brewers,RHP,"$3,500,000",,$0,$0
"Barnes, Austin",Dodgers,C,"$3,500,000",,$0,$0
"Wade, LaMonte",Giants,1,"$3,500,000",,$0,$0
"O'Hearn, Ryan",Orioles,1,"$3,500,000",,$0,$0
"Whitlock, Garrett",Red Sox,RHP,"$3,500,000",4,"$18,750,000","$4,687,500"
"Stratton, Chris",Royals,RHP,"$3,500,000",2,"$8,000,000","$4,000,000"
"Kelly, Carson",Tigers,C,"$3,500,000",,$0,$0
"Blackburn, Paul",Athletics,RHP,"$3,450,000",,$0,$0
"Paredes, Isaac",Rays,3,"$3,400,000",,$0,$0
"Peralta, Wandy",Padres,LHP,"$3,350,000",4,"$16,500,000","$4,125,000"
"Greene, Hunter",Reds,RHP,"$3,333,333",6,"$53,000,000","$8,833,333"
"Means, John",Orioles,LHP,"$3,325,000",,$0,$0
"Dunning, Dane",Rangers,RHP,"$3,325,000",,$0,$0
"Castro, Willi",Twins,OF,"$3,300,000",,$0,$0
"Matsui, Yuki",Padres,LHP,"$3,250,000",5,"$28,000,000","$5,600,000"
"Vaughn, Andrew",White Sox,1,"$3,250,000",,$0,$0
"Thielbar, Caleb",Twins,LHP,"$3,225,000",,$0,
"Rogers, Tyler",Giants,RHP,"$3,200,000",,$0,$0
"Tellez, Rowdy",Pirates,1,"$3,200,000",,$0,$0
"Rodgers, Brendan",Rockies,2,"$3,200,000",,$0,$0
"King, Michael",Padres,RHP,"$3,150,000",,$0,$0
"Gomber, Austin",Rockies,LHP,"$3,150,000",,$0,$0
"Moore, Dylan",Mariners,OF,"$3,133,333",,$0,$0
"Witt Jr., Bobby",Royals,SS,"$3,111,111",11,"$288,777,777","$26,252,525"
"Rojas, Josh",Mariners,3,"$3,100,000",,$0,$0
"Heim, Jonah",Rangers,C,"$3,050,000",,$0,$0
"Duvall, Adam",Braves,OF,"$3,000,000",,$0,$0
"Sanchez, Gary",Brewers,C,"$3,000,000",,$0,$0
"McGough, Scott",Diamondbacks,RHP,"$3,000,000",2,"$6,250,000","$3,125,000"
"Maile, Luke",Reds,C,"$3,000,000",,$0,$0
"Miller, Shelby",Tigers,RHP,"$3,000,000",,$0,$0
"Kopech, Michael",White Sox,RHP,"$3,000,000",,$0,$0
"Soroka, Michael",White Sox,RHP,"$3,000,000",,$0,$0
"Clase, Emmanuel",Guardians,RHP,"$2,900,000",,$0,$0
"McCormick, Chas",Astros,OF,"$2,850,000",,$0,$0
"Sims, Lucas",Reds,RHP,"$2,850,000",,$0,$0
"Keith, Colt",Tigers,2,"$2,833,333",6,"$28,642,500","$4,773,750"
"Kirk, Alejandro",Blue Jays,C,"$2,800,000",,$0,$0
"Swanson, Erik",Blue Jays,RHP,"$2,750,000",,$0,$0
"Trevino, Jose",Yankees,C,"$2,730,000",,$0,$0
"Wisdom, Patrick",Cubs,OF,"$2,725,000",,$0,$0
"Espinal, Santiago",Reds,INF,"$2,725,000",,$0,$0
"Graterol, Brusdar",Dodgers,RHP,"$2,700,000",,$0,$0
"Mateo, Jorge",Orioles,2,"$2,700,000",,$0,$0
"Adam, Jason",Rays,RHP,"$2,700,000",,$0,$0
"Robles, Victor",Nationals,OF,"$2,650,000",,$0,$0
"Skubal, Tarik",Tigers,LHP,"$2,650,000",,$0,$0
"Chisholm Jr., Jazz",Marlins,OF,"$2,625,000",,$0,$0
"Canning, Griffin",Angels,RHP,"$2,600,000",,$0,$0
"Brown, Seth",Athletics,OF,"$2,600,000",,$0,$0
"Taveras, Leody",Rangers,OF,"$2,550,000",,$0,$0
"Stephenson, Tyler",Reds,C,"$2,525,000",,$0,$0
"Paddack, Chris",Twins,RHP,"$2,525,000",3,"$12,525,000","$4,175,000"
"Davis, J.D.",Athletics,3,"$2,500,000",,$0,$0
"Woodruff, Brandon",Brewers,RHP,"$2,500,000",2,"$22,000,000","$11,000,000"
"Gallo, Joey",Nationals,OF,"$2,500,000",,$0,$0
"Grandal, Yasmani",Pirates,C,"$2,500,000",,$0,$0
"Suter, Brent",Reds,LHP,"$2,500,000",,$0,$0
"Loaisiga, Jonathan",Yankees,RHP,"$2,500,000",,$0,$0
"Franco, Wander",Rays,SS,"$2,454,545",11,"$182,000,000","$16,545,454.55"
"Jeffers, Ryan",Twins,C,"$2,425,000",,$0,$0
"Ferguson, Caleb",Yankees,LHP,"$2,400,000",,$0,$0
"Poche, Colin",Rays,LHP,"$2,375,000",,$0,$0
"Carlson, Dylan",Cardinals,OF,"$2,350,000",,$0,$0
"Bubic, Kris",Royals,LHP,"$2,350,000",,$0,$0
"Harvey, Hunter",Nationals,RHP,"$2,325,000",,$0,$0
"Coulombe, Danny",Orioles,LHP,"$2,300,000",,$0,$0
"Brubaker, JT",Pirates,RHP,"$2,275,000",,$0,$0
"Kittredge, Andrew",Cardinals,RHP,"$2,262,500",,$0,$0
"Alexander, Scott",Athletics,LHP,"$2,250,000",,$0,$0
"Chourio, Jackson",Brewers,OF,"$2,250,000",(8 (2024-31),"$82,000,000","$10,250,000"
"Floro, Dylan",Nationals,RHP,"$2,250,000",,$0,$0
"Farmer, Buck",Reds,RHP,"$2,250,000",,$0,$0
"Smith, Drew",Mets,RHP,"$2,225,000",,$0,$0
"Hoffman, Jeff",Phillies,RHP,"$2,200,000",,$0,$0
"Munoz, Andres",Mariners,RHP,"$2,187,500",4,"$7,500,000","$1,875,000"
"Higashioka, Kyle",Padres,C,"$2,180,000",,$0,$0
"Richards, Trevor",Blue Jays,RHP,"$2,150,000",,$0,$0
"Peterson, David",Mets,LHP,"$2,150,000",,$0,$0
"Fraley, Jake",Reds,OF,"$2,150,000",,$0,$0
"May, Dustin",Dodgers,RHP,"$2,135,000",,$0,$0
"Joe, Connor",Pirates,OF,"$2,125,000",,$0,$0
"Alzolay, Adbert",Cubs,RHP,"$2,110,000",,$0,$0
"Sanchez, Jesus",Marlins,OF,"$2,100,000",,$0,$0
"Urias, Ramon",Orioles,3,"$2,100,000",,$0,$0
"Milner, Hoby",Brewers,LHP,"$2,050,000",,$0,$0
"Bethancourt, Christian",Marlins,C,"$2,050,000",,$0,$0
"Armstrong, Shawn",Rays,RHP,"$2,050,000",,$0,$0
